Identifiant opération;Localisation station de mesure;Code station;X;Y;Identifiant point prélèvement;Date réalisation;Débit mesuré (m3/s);Débit station hydro (m3/s);Distance interpoint (m);Largeur plein bord évaluée (m);Largeur mouillée évaluée (m);Longueur réelle opération (m);Longueur théorique opération (m);Pente ligne d'eau (‰);Pente ligne d'eau évaluée;Decription habitat marginaux;Continuité ripisylve rive gauche;Continuité ripisylve rive droite;Nom réseau de mesure;Observations;Version protocole;Structure responsable;Cours d'eau;Nombre transect;D16 (mm);D50 (mm);D84 (mm);Indice Folk et Ward;Indice Fredle;Surface mouillée Q1 (m2);Largeur mouillée Q1 (m);Périmètre mouillé Q1 (m);Profondeur maximum Q1 (m);Profondeur moyenne Q1 (m);Rayon hydraulique Q1;Rapport largeur/Profondeur Q1;Coefficient rugosité;Surface mouillée Qb (m2);Largeur mouillée Qb (m);Périmètre mouillé Qb (m);Profondeur maximum Qb (m);Profondeur moyenne Qb (m);Rayon hydraulique Qb;Rapport largeur/Profondeur Qb;Force tractrice Qb  (N/m2);Débit plein bord (m3/s);Ecart type cote point;Coefficient variation cote point;Ecart type cote point en eau;Coefficient variation cote point en eau;Ecart type largeur mouillée Qb;Coefficient variation largeur mouillée Qb;Vitesse moyenne Qb (m/s);Ligne énergie Qb (m);Cote ligne énergie Qb;Nombre de Froude Qb;Puissance spécifique Qb (w/m2);Nombre de mouille;Profondeur moyenne des mouilles (m);Nombre de berge total;Nombre de berge artificialisée;Score ripisylve;Classe ripisylve;% fines;% graviers-cailloux;% blocs-rochers;Indice de Shannon granulo;Surface BV (km2);Proportion de roche imperméable BV;Code HER ou DOM dominant;Nom HER ou DOM dominant;Type DOM;Coefficient de sinuosité;Débit Q01 RHT (m3/s);Puissance Q01 RHT (w/m);Puissance spécifique Q01 RHT (w/m2);Station référence modèle;Résidu modèle Largeur mouillée Qb;Résidu modèle rapport largeur/profondeur Qb;Résidu modèle profondeur mouilles;Résidu modèle profondeur Qb;Résidu modèle pente ligne d'eau;Résidu modèle surface mouillée Qb;Résidu standardisé modèle largeur mouillée Qb;Résidu standardisé modèle rapport largeur/profondeur Qb;Résidu standardisé modèle profondeur mouilles;Résidu standardisé modèle profondeur Qb;Résidu standardisé modèle pente ligne d'eau;Résidu standardisé modèle surface mouillée Qb;IMG;Modèle référence IMG
97;OISILLY à CHAMPGENETEUX;4124875;449328;6803679;121834;22/07/2009;0,032;NA;0,4;4,07;2,77;57;56,98;9,4;NA;;0;1;NA;Pas de station hydro;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Oisilly;15;22,84;62;124;1,119;28,916;0,204;2,254;2,345;0,166;0,093;0,088;15,867;8,028;1,147;3,386;3,688;0,488;0,345;0,315;7,053;29,023;0,413;0,257;0,003;0,06;0,65;0,941;0,278;0,372;0,495;100,062;0,202;11,945;5;0,064;30;0;0,061;1;45,745;48,936;5,319;2,177;8,99;1;12;ARMORICAIN;0;1.01;0,913;84,191;24,861;0;-0,114;0,271;-0,467;-0,39;0,24;-0,498;-0,527;0,985;-1,133;-1,942;0,233;-1,59;6,41;ARMORICAIN
98;ARON à MOULAY;4124985;445127;6806846;121844;22/07/2009;0,243;0,175;0,7;6,03;5;84;84,42;0,71;NA;;3;3;NA;Débit hydro recalculé au prorata de la surface de BV ????;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Aron;15;22;34;67,32;0,83;24,972;1,61;4,589;4,843;0,508;0,351;0,331;9,751;11,845;5,477;6,058;6,918;1,23;0,906;0,791;4,988;5,511;1,479;0,474;0,005;0,165;0,461;0,468;0,077;0,273;1,234;100,696;0,092;1,71;2;0,229;30;0;0,188;1;53,271;45,794;0,935;2,139;80,5;1;12;ARMORICAIN;0;0;5,237;36,476;6,021;0;-0,444;-0,415;0,401;-0,035;-1,183;-0,449;-2,049;-1,509;0,973;-0,173;-1,149;-1,434;7,288;ARMORICAIN
99;ARGOS à SAINTE-GEMMES-D'ANDIGNE;4131550;409619;6734635;122071;21/07/2009;0,04;0,053;1,18;10;8,26;140;140;0,03;NA;;5;5;NA;"Colmatage par des fines / toute la station
Batons : coloration inverse sur tous les batons";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Argos;15;18;30;44;0,724;21,075;4,476;8,184;8,644;0,702;0,549;0,519;11,848;2,527;15,395;11,092;12,42;1,843;1,393;1,241;6,03;0,365;0,246;0,737;0,007;0,136;0,236;1,117;0,101;0,016;1,843;101,139;0,004;0,007;4;0,071;30;0;0,866;3;15,094;84,906;0;1,64;151,57;1;12;ARMORICAIN;0;1.095;11,701;3,444;0,31;0;-0,102;-0,323;-0,885;0,205;-4,012;0,147;-0,472;-1,175;-2,146;1,022;-3,898;0,468;9,181;ARMORICAIN
100;RAU DE LA VALLEE ou JEANNEAU à RIAILLE;4146418;379406;6724885;72466;15/07/2009;0,018;NA;0,39;3,14;2,73;44;43,96;3,91;NA;;5;5;NA;"Batons radier A non retrouvés
Pas de station hydro à proximité";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau de la vallee ou jeanneau;15;13;40;112;1,682;15,852;0,314;2,685;2,774;0,169;0,116;0,112;17,844;3,945;1,899;3,57;4,117;0,657;0,532;0,459;5,471;17,612;0,279;0,253;0,003;0,063;0,538;0,526;0,147;0,151;0,659;100,403;0,066;3,058;5;0,027;30;0;1,516;2;61,905;37,302;0,794;1,775;18,7;1;12;ARMORICAIN;0;0.656;2,22;85,153;23,854;0;-0,366;-0,097;-1,464;-0,282;-0,25;-0,5;-1,689;-0,351;-3,553;-1,406;-0,243;-1,595;8,837;ARMORICAIN
101;RAU DE GESVRES à CHAPELLE-SUR-ERDRE (LA);4146840;352423;6700739;72468;15/07/2009;0,076;NA;0,56;5,6;3,94;78;78,4;1,15;NA;;4;5;NA;Pas de station hydro à proximité;1;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau de gesvres;15;9;14;21,52;0,651;10,373;1,038;3,899;4,162;0,44;0,25;0,234;10,092;5,69;6,876;5,762;7,277;1,609;1,191;0,94;3,605;10,607;1,273;0,584;0,006;0,177;0,669;0,684;0,119;0,19;1,611;101,125;0,056;2,525;5;0,124;30;0;1,418;2;46,825;53,175;0;1,599;54,91;1;12;ARMORICAIN;0;1.124;7,692;86,777;15,06;0;-0,335;-0,68;-0,137;0,333;-0,903;0,042;-1,546;-2,476;-0,332;1,659;-0,878;0,135;7,025;ARMORICAIN
102;LOISANCE À SAINT-OUEN-LA-ROUERIE;4162958;371953;6823463;123774;09/07/2009;NA;0,358;0,5;5,73;4,9;80;80,22;6,75;NA;;3;2;NA;"Rivière courante avec blocs RG prairie fauchée ronces + qqs arbres et arbustes épars  RD plantation de peuplier ronces et qqs arbres nat
Partie amont de la station modifiée : accès percelle + station de jaugeage,
Batons B1 coloration inversée B2 alterné";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Loisance;15;21,68;55;400;1,973;42,582;1,431;5,975;6,124;0,379;0,247;0,24;17,572;7,888;5,318;7,729;8,206;0,938;0,692;0,65;8,428;43,033;2,586;0,374;0,004;0,121;0,506;1,405;0,182;0,498;0,951;100,301;0,191;22,905;5;0,084;30;7;0,162;1;27,857;49,286;22,857;2,006;82,49;1;12;ARMORICAIN;0;1.357;3,185;210,903;27,286;0;-0,211;0,106;-0,605;-0,312;1,082;-0,496;-0,971;0,386;-1,469;-1,555;1,051;-1,583;7,014;ARMORICAIN
103;FLORA à SAINT-ALBAN;4167750;292161;6842216;124258;25/08/2009;0,005;NA;0,4;4,25;2,7;60;59,5;6,7;NA;;4;5;NA;"Petit cours d'eau rectiligne au niveau de la station avec affleurements rocheux. Débit faible et colmatage important par des fines.
RG : prairie paturées avec  bouquets d'arbres et/ou arbustes en alignement
RD : coteaux boisés (roche affleurantes)";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Flora;15;3,84;10;30,32;1,623;5,329;0,407;1,998;2,215;0,297;0,198;0,172;8,475;0,466;3,447;4,116;5,242;1,315;0,842;0,661;3,143;43,417;0,1;0,541;0,005;0,134;0,655;0,717;0,174;0,03;1,315;100,818;0,011;1,635;2;0,262;30;0;0,801;3;21,978;51,648;26,374;2,112;16,03;1;12;ARMORICAIN;0;1.207;1,336;87,811;21,333;0;-0,16;-0,627;0,837;0,451;0,207;0,203;-0,736;-2,282;2,03;2,246;0,201;0,647;8,143;ARMORICAIN
104;TRIEUX à PLESIDY;4171670;250308;6834760;124633;27/08/2009;0,18;0,22;1,2;10,83;8,4;185;151,62;13,2;NA;;2;5;NA;"Rivières courantes parmi de nombreux blocs
RG : prairie avac peupliers en alignement en rive (+ qq bosquets naturels)
RD : bois en aval puis prairie avec peupliers
Longueut station surévaluée
Débit Hydro recalculé au prorata de BV de la station morpho";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Trieux;15;3;75;331,6;3,082;6,324;1,375;6,413;6,585;0,389;0,223;0,215;18,807;3,175;6,223;9,482;9,95;0,975;0,661;0,628;9,989;81,291;1,664;0,721;0,007;0,164;0,741;1,312;0,138;0,273;0,979;99,59;0,108;23,134;3;0,189;30;0;0,671;2;23,853;9,174;66,972;1,528;94,36;1;12;ARMORICAIN;0;1.119;0,702;90,903;9,587;1;-0,062;0,255;0,184;-0,308;1,824;-0,432;-0,286;0,929;0,445;-1,534;1,772;-1,377;6,343;ARMORICAIN
105;LEGUER à PLOUBEZRE;4173100;227473;6859526;124997;18/08/2009;0,832;0,863;2,4;18,83;16,7;270;263,62;3;NA;;3;1;NA;"Rivière courante avec présence de blocs. Sytion à l'aval d'un ancien moulin
RD : parcelle récemment déboisée en aval + petite prairie en amont
RG : prairie paturée en aval + chemin boisé + friche herbacée en amont";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Leguer;15;24,84;50;107,16;1,378;31,228;5,697;15,135;15,395;0,61;0,388;0,38;28,481;5,08;31,711;21,242;22,359;2,015;1,517;1,437;10,702;42,298;11,237;0,843;0,008;0,22;0,572;3,819;0,18;0,358;2,022;101,017;0,093;16,036;5;0,103;30;0;0,137;4;47,321;15,179;37,5;1,685;376,49;1;12;ARMORICAIN;0;1.035;36,596;1077,02;50,702;1;0,169;0,11;-0,685;0,058;1,075;0,24;0,781;0,401;-1,663;0,291;1,044;0,767;4,947;ARMORICAIN
106;KERGOMARD OU GRUGUIL à SAINT-QUAY-PERROS;4173405;227566;6873403;125065;19/08/2009;0,027;NA;0,4;3,2;2,8;45;44,8;4,4;NA;;5;5;NA;"Petit cours d'eau côtier  sinueux coulant en  fond de vallée boisé au niveau de la station.
Pas de station hydro à proximité";1;OFFICE FRANCAIS DE LA BIODIVERSITE;Kergomard ou gruguil;15;18;28;55,64;0,894;21,619;0,308;2,397;2,529;0,201;0,13;0,122;14,315;5,349;1,98;3,519;4,206;0,745;0,564;0,47;4,783;20,27;0,424;0,308;0,003;0,084;0,657;0,54;0,154;0,22;0,748;100,448;0,094;5,323;4;0,08;30;0;1,516;2;34,821;59,821;5,357;1,849;12,78;1;12;ARMORICAIN;0;1.054;0;0;0;0;-0,222;-0,172;-0,308;-0,058;-0,333;-0,195;-1,025;-0,626;-0,748;-0,288;-0,324;-0,622;3,633;ARMORICAIN
