Identifiant opération;Localisation station de mesure;Code station;X;Y;Identifiant point prélèvement;Date réalisation;Débit mesuré (m3/s);Débit station hydro (m3/s);Distance interpoint (m);Largeur plein bord évaluée (m);Largeur mouillée évaluée (m);Longueur réelle opération (m);Longueur théorique opération (m);Pente ligne d'eau (‰);Pente ligne d'eau évaluée;Decription habitat marginaux;Continuité ripisylve rive gauche;Continuité ripisylve rive droite;Nom réseau de mesure;Observations;Version protocole;Structure responsable;Cours d'eau;Nombre transect;D16 (mm);D50 (mm);D84 (mm);Indice Folk et Ward;Indice Fredle;Surface mouillée Q1 (m2);Largeur mouillée Q1 (m);Périmètre mouillé Q1 (m);Profondeur maximum Q1 (m);Profondeur moyenne Q1 (m);Rayon hydraulique Q1;Rapport largeur/Profondeur Q1;Coefficient rugosité;Surface mouillée Qb (m2);Largeur mouillée Qb (m);Périmètre mouillé Qb (m);Profondeur maximum Qb (m);Profondeur moyenne Qb (m);Rayon hydraulique Qb;Rapport largeur/Profondeur Qb;Force tractrice Qb  (N/m2);Débit plein bord (m3/s);Ecart type cote point;Coefficient variation cote point;Ecart type cote point en eau;Coefficient variation cote point en eau;Ecart type largeur mouillée Qb;Coefficient variation largeur mouillée Qb;Vitesse moyenne Qb (m/s);Ligne énergie Qb (m);Cote ligne énergie Qb;Nombre de Froude Qb;Puissance spécifique Qb (w/m2);Nombre de mouille;Profondeur moyenne des mouilles (m);Nombre de berge total;Nombre de berge artificialisée;Score ripisylve;Classe ripisylve;% fines;% graviers-cailloux;% blocs-rochers;Indice de Shannon granulo;Surface BV (km2);Proportion de roche imperméable BV;Code HER ou DOM dominant;Nom HER ou DOM dominant;Type DOM;Coefficient de sinuosité;Débit Q01 RHT (m3/s);Puissance Q01 RHT (w/m);Puissance spécifique Q01 RHT (w/m2);Station référence modèle;Résidu modèle Largeur mouillée Qb;Résidu modèle rapport largeur/profondeur Qb;Résidu modèle profondeur mouilles;Résidu modèle profondeur Qb;Résidu modèle pente ligne d'eau;Résidu modèle surface mouillée Qb;Résidu standardisé modèle largeur mouillée Qb;Résidu standardisé modèle rapport largeur/profondeur Qb;Résidu standardisé modèle profondeur mouilles;Résidu standardisé modèle profondeur Qb;Résidu standardisé modèle pente ligne d'eau;Résidu standardisé modèle surface mouillée Qb;IMG;Modèle référence IMG
956;LA TAUTE A SAINT-SAUVEUR-LENDELIN 1;3255180;378969;6901850;112318;05/07/2012;0,143;NA;0,66;4,8;4,6;101;NA;4,45;NA;;3;4;1;longeur station bio 125m;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Taute;22;19;30;48;0,723;22,496;0,79;3,676;3,867;0,34;0,218;0,203;13,929;7,853;3,401;5,108;5,766;0,933;0,67;0,588;5,664;25,658;1,25;0,425;0,004;0,159;0,743;0,874;0,171;0,382;0,941;100,376;0,151;10,996;5;0,193;44;0;0,213;4;36,585;57,724;5,691;2,022;17,42;1;12;ARMORICAIN;0;1.025;4,115;179,638;35,168;0;0,022;-0,051;0,513;0,087;-0,158;0,132;0,101;-0,186;1,245;0,431;-0,153;0,42;2,536;ARMORICAIN
957;EGRENNE à BEAUCHENE;4123760;424506;6849862;121758;21/06/2012;0,433;NA;NA;6,75;5,3;100,75;NA;6,4;NA;;5;3;1;longueur station bio=100m;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Egrenne;16;44,84;75;134;0,737;55,184;1,139;4,907;5,098;0,359;0,24;0,23;15,099;12,67;4,357;6,342;6,937;0,927;0,694;0,632;6,97;39,656;3,251;0,424;0,004;0,137;0,585;1,104;0,174;0,757;0,957;100,274;0,291;32,945;3;0,132;32;3;0,548;2;18,627;67,647;13,725;2,046;40,51;1;12;ARMORICAIN;0;1.039;2,979;187,034;29,493;0;-0,113;0,026;-0,025;-0,139;0,652;-0,204;-0,52;0,095;-0,061;-0,691;0,634;-0,65;2,651;ARMORICAIN
958;LE NOIREAU A BERJOU 1;3241957;444495;6867749;111119;22/06/2012;NA;2,658;1,75;14,7;12,15;250;NA;2,46;NA;;5;5;1;longueur station bio=250;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Noireau;18;42;69;114,32;0,692;48,681;4,993;12,815;13,043;0,569;0,392;0,385;24,346;20,295;23,942;16,631;17,728;1,851;1,442;1,352;9,078;32,617;29,461;0,742;0,007;0,171;0,443;1,146;0,069;1,235;1,929;101,052;0,329;42,945;4;0,252;36;0;0,866;3;14,685;64,336;20,979;1,889;506,77;1;12;ARMORICAIN;0;1.018;38,879;938,251;56,414;0;-0,199;-0,1;0,159;-0,104;1,033;-0,246;-0,918;-0,365;0,386;-0,518;1,004;-0,785;3,977;ARMORICAIN
989;ODET à QUIMPER;4182000;177334;6793351;126736;28/08/2012;1,016;1,1;1,7;13,2;12,2;182;NA;1,13;NA;;5;5;NA;La station hydro se situe 7,8 km en aval de la station carhyce;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Odet;15;15;45;85,8;1,702;21,006;5,869;11,382;11,718;0,75;0,521;0,505;16,443;8,119;15,931;13,658;14,558;1,547;1,168;1,095;8,987;12,137;4,619;0,603;0,006;0,213;0,403;0,897;0,066;0,292;1,551;100,697;0,087;3,765;2;0,153;30;0;1,516;2;25,243;24,272;50,485;1,661;202,94;1;12;ARMORICAIN;0;1.105;29,18;323,469;23,684;0;-0,016;0,031;-0,17;-0,046;-0,229;-0,021;-0,072;0,113;-0,413;-0,228;-0,222;-0,067;1,114;ARMORICAIN
990;MIGNONNE à IRVILLAC;4178103;166275;6833820;125822;28/08/2012;0,707;0,718;1,1;8;7,6;112;NA;4,3;NA;;5;4;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Mignonne;15;25;51,5;80,8;0,822;32,528;2,289;6,891;7,263;0,563;0,336;0,317;13,89;10,126;7,719;8,256;9,234;1,268;0,939;0,836;6,709;35,27;4,549;0,495;0,005;0,19;0,554;1,192;0,144;0,602;1,287;100,483;0,2;23,695;3;0,164;30;0;1,418;2;21,698;50;28,302;2,104;66,76;1;12;ARMORICAIN;0;1.014;8,503;358,682;43,443;0;-0,057;-0,089;0,102;0,044;0,519;0,023;-0,261;-0,326;0,248;0,221;0,504;0,073;1,633;ARMORICAIN
992;GOUESSANT à SAINT-GLEN;4167815;290857;6822036;124293;30/08/2012;NA;NA;0,4;2,8;2,8;40;NA;1;NA;;5;5;NA;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Gouessant;15;5;39;70;1,808;8,81;0,363;2,365;2,527;0,251;0,156;0,143;11,513;10,126;1,874;3,18;3,853;0,781;0,593;0,484;4,151;4,752;0,37;0,309;0,003;0,094;0,615;0,55;0,173;0,204;0,783;100,512;0,085;1,185;3;0,114;30;0;0,866;3;72,381;25,714;1,905;1,494;13,17;1;12;ARMORICAIN;0;1.002;1,103;10,82;3,403;0;-0,336;-0,318;0,038;-0,019;-1,799;-0,271;-1,551;-1,159;0,092;-0,096;-1,748;-0,864;5,509;ARMORICAIN
993;LIE à PLOEUC-SUR-LIE;4196095;272631;6821055;128194;30/08/2012;0,021;NA;0,35;2,8;2,5;39,2;NA;0,06;NA;;0;0;NA;Pas de mesure de la granulomètrie sur radier : 100% de sable.;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Lie;15;NA;NA;NA;NA;NA;0,81;2,029;2,577;0,522;0,403;0,312;4,018;7,273;1,49;2,332;3,21;0,832;0,647;0,463;2,855;0,273;0,05;0,346;0,003;0,123;0,285;0,353;0,151;0,034;0,832;100,309;0,014;0,013;4;0,078;30;0;0,036;1;70,588;28,235;1,176;1,782;20,39;1;12;ARMORICAIN;0;1.029;1,796;1,057;0,453;0;-0,828;-0,76;-0,421;-0,069;-4,381;-0,802;-3,82;-2,767;-1,021;-0,344;-4,256;-2,559;14,768;ARMORICAIN
994;ABER BENOIT à PLABENNEC;4175450;154208;6850511;125462;28/08/2012;0,37;365;0,7;5,03;4,3;70;NA;0,65;NA;;3;2;NA;Station hydro à proximité immédiate de la station RCS;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Aber benoit;15;4,84;31,5;89,16;2,45;7,152;1,206;3,105;3,483;0,569;0,385;0,341;5,573;24,661;3,852;4,669;5,613;1,26;0,826;0,685;3,708;4,365;1,881;0,517;0,005;0,178;0,45;0,718;0,154;0,503;1,273;100,681;0,178;2,628;3;0,136;30;0;0,162;4;71,795;20,513;7,692;1,377;26,78;1;12;ARMORICAIN;0;1.051;1,927;12,288;2,632;0;-0,247;-0,541;0,084;0,275;-1,854;-0,041;-1,14;-1,969;0,203;1,371;-1,801;-0,13;6,614;ARMORICAIN
997;ELORN à PLOUEDERN;4178000;167639;6843744;125721;29/08/2012;2,407;2,27;1,7;14;12,2;196;NA;3,4;NA;;4;1;NA;Sur toute la station : la rive droite est contrainte par la route etpar des habitations.;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Elorn;15;8;45;122,16;1,863;13,025;5,498;11,274;11,527;0,741;0,498;0,486;16,139;12,144;20,921;15,083;16,081;1,902;1,394;1,306;8,009;43,544;17,696;0,758;0,008;0,232;0,475;1,478;0,098;0,85;1,939;100,865;0,231;39,471;3;0,153;30;8;0,162;1;15,534;59,223;25,243;1,859;260;1;12;ARMORICAIN;0;0;1,485;49,531;3,284;0;-0,019;-0,123;-0,218;0,097;1,004;0,08;-0,089;-0,446;-0,529;0,481;0,975;0,257;2,777;ARMORICAIN
1001;ROSETTE à MEGRIT;4166800;311636;6820002;124106;30/08/2012;NA;NA;0,4;3;2,7;42;NA;0,25;NA;;3;2;NA;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Rosette;15;9;20,5;41,16;1,175;11,786;0,858;2,576;2,942;0,467;0,334;0,291;5,769;3,752;2,805;3,259;4,388;1,128;0,864;0,639;2,916;1,567;0,123;0,433;0,004;0,138;0,416;0,358;0,11;0,044;1,128;100,656;0,015;0,094;3;0,113;30;0;0,162;4;89,815;6,481;3,704;1,256;113,03;1;12;ARMORICAIN;0;1.405;10,939;26,828;8,231;0;-1,205;-1,004;-0,366;-0,209;-2,047;-1,353;-5,561;-3,655;-0,889;-1,043;-1,989;-4,319;17,455;ARMORICAIN
1036;ARGENTON à MASSAIS;4101500;445547;6660536;120526;13/07/2012;NA;NA;3;22,93;21,07;321;NA;0,12;NA;;5;5;1;"pose des bâtonnets de la RG à la RD
6.4 (marque franche en zone de courant)
2.8 (marque diffuse en zone lentique)
4.4 (marque diffuse en zone lentique)
3   (marque diffuse en zone morte) ";2;OFFICE FRANCAIS DE LA BIODIVERSITE;Argenton;15;34,52;70;101,6;0,806;41,876;19,783;21,679;22,196;1,141;0,875;0,852;25,208;12,953;50,92;25,091;26,343;2,451;2,011;1,911;10,646;2,249;11,126;1,035;0,01;0,497;0,542;2,744;0,109;0,232;2,454;101,294;0,054;0,528;3;0,27;30;2;0,866;3;17,117;38,739;44,144;1,972;626,54;0,996;12;ARMORICAIN;0;1.026;85,912;101,136;4,031;1;0,124;0,026;0,189;0,122;-1,875;0,362;0,572;0,095;0,458;0,608;-1,821;1,155;4,71;ARMORICAIN
1057;VILAINE à GUICHEN;4209990;345031;6777534;129161;30/05/2013;NA;NA;5;35;34;490;NA;0;NA;;3;0;NA;"La station est en bief, la pente n'a pas été mesurée.
Il s'agit du GCE donc pas de mesure de la granulo sur radier et du colmatage.";2;OFFICE FRANCAIS DE LA BIODIVERSITE;Vilaine;15;NA;NA;NA;NA;NA;43,461;27,114;27,872;2,26;1,603;1,558;12,158;13,734;77,484;32,02;33,271;3,403;2,424;2,33;9,472;0,002;0,592;1,357;0,014;0,574;0,34;3,824;0,119;0,008;3,403;101,143;0,002;0;4;0,297;30;7;0,112;4;19,048;76,19;4,762;1,954;2466,49;0,982;12;ARMORICAIN;0;1.062;157,664;0,155;0,005;0;-0,202;-0,303;0,031;0,094;-8,24;-0,165;-0,931;-1,102;0,076;0,469;-8,005;-0,527;11,11;ARMORICAIN
1058;JAUNAY à MARTINET;4152500;342230;6630756;123014;18/06/2013;NA;NA;1,5;12;10,5;168;NA;0,033;NA;;3;5;NA;"Pour des raisons pratiques, la pente a été mesurée en amont immédiat de la station. Celle ci se trouvant sous l'impact immédiat d'un seuil, la pente de la ligne d'eau est la même sur tout le tronçon.
Carhyce GCE donc pas de mesure de la granulo sur radier, ni du colmatage.";2;OFFICE FRANCAIS DE LA BIODIVERSITE;Jaunay;15;NA;NA;NA;NA;NA;16,367;10,912;12,365;2,111;1,501;1,317;5,225;13,734;21,794;12,006;13,843;2,584;1,823;1,571;4,685;0,509;2,324;1,01;0,01;0,592;0,377;1,676;0,14;0,109;2,585;100,471;0,026;0,064;3;0,369;30;0;0,736;2;94,34;1,887;3,774;1,05;61,93;1;12;ARMORICAIN;0;1.423;13,035;4,22;0,351;0;0,349;-0,437;0,927;0,776;-4,391;1,113;1,611;-1,59;2,249;3,864;-4,266;3,551;17,13;ARMORICAIN
1069;HIERE à CHERANCE;4131200;406812,5;6750514;32698;11/06/2013;0,183;NA;1,2;9,9;8,64;138,6;NA;0,216;NA;;2;4;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Hiere;15;49;72;117;0,643;55,705;3,082;6,377;6,763;0,624;0,47;0,442;10,582;6,963;10,43;9,568;10,717;1,535;1,12;0,985;6,348;2,087;1,057;0,624;0,006;0,182;0,373;1,793;0,187;0,103;1,536;100,897;0,032;0,241;4;0,155;30;7;0,606;3;66,265;32,53;1,205;1,921;152,4;1;12;ARMORICAIN;0;1.216;9,572;20,283;2,12;0;-0,252;-0,272;-0,103;0,021;-2,035;-0,247;-1,164;-0,991;-0,249;0,106;-1,977;-0,787;5,275;ARMORICAIN
1070;AER à CROISTY (LE);4187500;224313;6793194;37763;27/06/2013;NA;NA;1;9;7;126;NA;11;NA;;3;3;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Aer;15;70;120;165,8;0,603;82,281;1,943;8,049;8,255;0,385;0,244;0,238;22,794;6,963;6,843;9,808;10,355;0,92;0,701;0,663;10,801;71,536;3,799;0,539;0,005;0,108;0,434;1,216;0,124;0,562;0,936;99,859;0,215;42,436;4;0,108;30;1;0,585;4;29,268;30,081;40,65;1,642;57,41;1;12;ARMORICAIN;0;1.41;4,616;498,113;50,788;0;0,178;0,41;-0,284;-0,237;1,378;0,007;0,823;1,493;-0,688;-1,182;1,339;0,021;5,546;ARMORICAIN
1107;RAU DU MOULIN DU DUC à LANGONNET;4187600;213621,1;6797260;37777;27/06/2013;0,189;NA;0,6;5;4,2;70;NA;7,07;NA;;1;4;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau du moulin du duc;15;1;60;150,64;3,002;4,429;0,907;3,957;4,145;0,356;0,234;0,221;11,716;6,77;3,719;5,534;6,143;0,939;0,673;0,603;5,931;41,846;1,511;0,39;0,004;0,12;0,52;0,949;0,172;0,419;0,948;100,345;0,164;19,456;4;0,096;30;14;0,397;2;25,197;22,047;52,756;1,955;33,66;1;12;ARMORICAIN;0;1.105;3,652;253,291;45,768;0;-0,172;-0,107;-0,306;-0,078;0,654;-0,234;-0,793;-0,388;-0,742;-0,39;0,635;-0,747;3,696;ARMORICAIN
1109;PENFELD à BOHARS;4177250;145380,7;6840556;36190;27/09/2013;0,078;NA;0,6;5;4,2;70;NA;1,3;NA;;3;4;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Penfeld;15;32,52;82,5;155,48;1,221;42,383;0,884;3,92;4,071;0,373;0,227;0,218;10,995;6,747;5,758;6,025;6,918;1,339;0,959;0,834;4,511;10,638;1,241;0,527;0,005;0,121;0,548;0,598;0,099;0,217;1,341;100,92;0,071;2,651;3;0,112;30;0;0,671;2;60;28,696;11,304;1,676;22,79;1;12;ARMORICAIN;0;1.126;1,987;25,34;4,206;0;0,075;-0,32;-0,077;0,378;-1,246;0,473;0,347;-1,165;-0,186;1,881;-1,211;1,508;6,297;ARMORICAIN
1110;CLAIE à PLEUCADEUC;4199078;300832,1;6754028;39122;13/06/2013;2,154;NA;2;15;14;210;NA;0,266;NA;;4;4;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Claie;15;1;9;17;1,786;2,036;15;14,321;15,072;1,364;1,044;0,992;10,539;8,855;29,394;16,221;17,695;2,303;1,809;1,658;7,046;4,326;5,947;0,895;0,009;0,359;0,337;1,342;0,083;0,205;2,305;100,913;0,049;0,962;3;0,129;30;1;0,736;3;53,153;45,045;1,802;1,842;346,18;1;12;ARMORICAIN;0;1.314;31,373;81,867;5,047;1;-0,066;-0,295;-0,438;0,213;-1,393;0,223;-0,302;-1,073;-1,062;1,063;-1,353;0,71;5,565;ARMORICAIN
1112;RAU DE PENERF À SURZUR;4217100;282269,5;6736314;40093;12/06/2013;0,099;NA;0,5;5,5;3,6;77;NA;5,46;NA;;5;0;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau de penerf;15;3,84;14;45,32;1,946;6,151;0,693;3,049;3,308;0,337;0,219;0,2;10,267;5,652;3,423;4,363;5,339;1,059;0,788;0,637;4,187;34,1;1,058;0,434;0,004;0,133;0,581;0,801;0,184;0,324;1,064;100,517;0,118;13,467;3;0,117;30;0;0,776;4;46,429;42,857;10,714;2,133;20,96;1;12;ARMORICAIN;0;1.415;0;0;0;0;-0,213;-0,382;-0,019;0,165;0,145;0,011;-0,982;-1,389;-0,047;0,82;0,141;0,034;3,413;ARMORICAIN
1115;JET à ELLIANT;4181960;186487,2;6789358;37323;12/09/2013;0,174;NA;0,6;6,5;4,04;91;NA;10,54;NA;;5;4;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Jet;15;33,4;68,5;163,2;1,899;41,557;0,771;4,511;4,622;0,3;0,172;0,167;17,051;7,235;4,917;6,961;7,588;0,987;0,707;0,647;7,116;66,889;2,731;0,438;0,004;0,11;0,654;1,396;0,201;0,576;1,004;100,225;0,219;41,915;5;0,119;30;3;0,599;2;33,987;46,405;19,608;2,172;32,58;1;12;ARMORICAIN;0;1.092;3,121;322,703;46,357;0;0,071;0,08;-0,087;-0,02;1,036;0,068;0,328;0,293;-0,211;-0,101;1,006;0,216;2,155;ARMORICAIN
1116;MILIN PRAT A LOGUIVY-PLOUGRAS;4322000;222891;6842082;40276;25/06/2013;0,052;NA;0,45;3,13;3;42;NA;2,94;NA;;4;1;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Milin prat;15;15;34,5;65,8;0,987;19,52;0,413;2,386;2,564;0,282;0,172;0,158;11,497;7,956;2,069;3,427;4,132;0,853;0,609;0,499;4,146;14,399;0,562;0,345;0,003;0,121;0,698;0,703;0,205;0,283;0,857;100,514;0,117;4,926;3;0,189;30;0;0,162;4;18,478;79,348;2,174;1,982;10,57;1;12;ARMORICAIN;0;1;1,226;35,36;10,319;0;-0,17;-0,286;0,585;0,127;-0,837;-0,02;-0,783;-1,04;1,42;0,63;-0,813;-0,064;4,751;ARMORICAIN
1117;DON à GUEMENE-PENFAO;4215485;338006;6736001;39978;03/06/2013;NA;1,03;4;30;28;420;NA;0,3;0,3;;2;5;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Don;15;NA;NA;NA;NA;NA;49,996;27,877;28,773;2,467;1,8;1,741;11,469;0,822;62,121;33,337;34,374;2,861;1,911;1,848;11,792;5,437;1,331;1,2;0,012;0,802;0,443;8,481;0,254;0,022;2,861;100,394;0,005;0,124;4;0,343;30;1;0,325;1;46,535;51,485;1,98;1,956;615,03;1;12;ARMORICAIN;0;1.049;69,447;204,383;6,131;0;0,416;0,131;0,431;0,281;-0,968;0,574;1,919;0,477;1,045;1,401;-0,941;1,831;7,614;ARMORICAIN
1118;GARVAN A DINEAULT;4338000;166470;6815457;40395;26/06/2013;0,106;NA;0,6;4,5;4,1;63;NA;23,7;NA;;4;0;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Garvan;15;34;57;84;0,642;40,141;0,816;3,621;3,866;0,379;0,223;0,207;10,268;2,414;3,513;4,775;5,641;1,005;0,734;0,62;4,797;144,215;0,949;0,591;0,006;0,152;0,686;0,564;0,118;0,28;1,009;99,884;0,106;46,818;4;0,146;30;0;0,693;4;16,822;64,486;18,692;2,141;17,26;1;12;ARMORICAIN;0;1.103;2,286;531,488;111,296;0;-0,042;-0,216;0,234;0,163;1,51;0,171;-0,192;-0,785;0,569;0,814;1,467;0,544;4,372;ARMORICAIN
1144;R VONNE A MENIGOUTE;4522002;461294;6606895;72589;01/10/2013;0,054;NA;1,1;9,6;7,86;135;NA;0,07;NA;;1;0;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;R vonne;15;NA;NA;NA;NA;NA;3,242;8,079;8,329;0,579;0,402;0,388;15,353;3,744;8,165;9,429;10,071;1,134;0,863;0,802;8,558;0,551;0,221;0,423;0,004;0,166;0,412;2,69;0,285;0,03;1,134;100,55;0,01;0,017;5;0,104;30;0;0,061;1;55,66;26,415;17,925;2,133;72,15;1;12;ARMORICAIN;0;1.427;14,088;9,674;1,026;0;0,044;0,142;-0,369;-0,087;-3,558;0,025;0,203;0,517;-0,895;-0,435;-3,457;0,081;5,588;ARMORICAIN
1145;SEVRE NANTAISE à CERIZAY;4137995;417447;6642112;72458;27/08/2013;NA;NA;1,5;18;10,66;252;NA;0,7;NA;;4;4;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Sevre nantaise;15;24,68;40;57;0,705;27,304;5,595;13,187;13,38;0,584;0,392;0,386;25,006;3,744;29,2;18,591;19,712;2,014;1,545;1,454;9,24;9,987;3,713;0,713;0,007;0,222;0,529;4,529;0,244;0,143;2,015;101,337;0,038;1,45;2;0,225;30;1;0,548;4;52,899;44,203;2,899;1,848;365,08;1;12;ARMORICAIN;0;0;49,031;336,696;18,111;0;0,049;-0,032;0,107;0,066;-0,397;0,179;0,225;-0,117;0,261;0,326;-0,386;0,572;1,886;ARMORICAIN
1170;RAU CHAMBON A AZAY-LE-BRULE;4741002;446922;6595161;72609;05/09/2013;NA;0,666;NA;10;7;NA;NA;1,7;NA;;4;4;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau chambon;15;34;47,5;67,16;0,479;37,41;3,428;7,43;7,913;0,745;0,465;0,431;12,869;8,264;17,044;10,313;11,785;2,181;1,672;1,456;4,892;24,276;7,46;1,209;0,012;0,301;0,645;2,126;0,206;0,453;2,192;101,329;0,113;12,515;2;0,328;30;0;0,548;1;30,952;58,73;10,317;2,084;81,31;0,502;12;ARMORICAIN;0;1.349;11,017;183,731;17,815;0;0,084;-0,436;0,76;0,536;-0,305;0,679;0,387;-1,586;1,843;2,668;-0,296;2,166;8,945;ARMORICAIN
1176;RAU DU COTEAU A LE TALLUD;4581002;446782;6618085;72594;29/08/2013;0,009;NA;0,2;2,8;1,13;39;NA;6,5;NA;;0;5;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Rau du coteau;15;14;39,5;81,16;1,232;17,637;0,105;1,171;1,305;0,148;0,081;0,073;8,582;6,104;1,439;2,875;3,602;0,759;0,511;0,409;3,836;26,11;0,391;0,299;0,003;0,065;0,74;0,65;0,226;0,278;0,763;100,487;0,125;9,085;4;0,053;30;1;0,866;2;13,69;67,262;19,048;2,18;7,25;1;12;ARMORICAIN;0;1.154;1,172;74,733;25,992;0;-0,188;-0,305;-0,614;0,107;-0,243;-0,122;-0,87;-1,111;-1,489;0,534;-0,236;-0,391;4,629;ARMORICAIN
1201;R PALAIS A JOUE-EN-CHARNIE;4605003;461814;6774250;72598;20/06/2013;0,13;NA;0,55;6,05;3,96;84;NA;2,02;NA;;5;4;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Palais;15;27,36;84;129,28;1,446;38,291;1,246;3,986;4,245;0,439;0,308;0,288;10,031;5,325;8,454;6,813;8,355;1,766;1,248;1,018;3,873;20,163;2,047;0,679;0,007;0,156;0,498;0,768;0,113;0,245;1,769;101,249;0,071;6,027;2;0,155;30;2;0,801;3;16,667;58,772;24,561;2,098;63,69;0,919;12;ARMORICAIN;0;1.14;4,76;94,325;13,845;0;-0,229;-0,632;0,054;0,388;-0,261;0,146;-1,057;-2,299;0,131;1,931;-0,254;0,467;6,14;ARMORICAIN
1204;ERDRE à NORT-SUR-ERDRE;4146500;362676;6716623;72467;04/07/2013;NA;1,06;1,5;13;10,7;182;NA;0,93;NA;;5;5;1;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Erdre;15;11,84;31;52;1,025;15,167;3,465;9,143;9,637;0,68;0,38;0,352;20,851;20,131;16,984;12,353;13,738;1,892;1,391;1,245;7,168;11,362;12,069;0,747;0,007;0,374;0,981;1,981;0,16;0,723;1,919;101,155;0,198;9,107;2;1,424;30;0;0,65;3;16,667;80,208;3,125;1,703;461,76;1;12;ARMORICAIN;0;1.291;36,306;331,231;26,813;0;-0,458;-0,322;1,907;-0,058;0,011;-0,525;-2,112;-1,173;4,627;-0,287;0,011;-1,675;9,886;ARMORICAIN
1227;LIE à LA PRENESSAYE;4196300;282812;6803642;72553;26/06/2014;NA;NA;1,5;14;10,8;196;NA;4,69;NA;;5;4;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Lie;15;6;37,5;85,12;1,876;10,016;3,162;9,84;10,018;0,451;0,324;0,317;22,605;6,819;22,411;13,798;15,246;2,055;1,629;1,47;6,732;67,616;13,528;0,849;0,009;0,135;0,423;1,564;0,113;0,61;2,075;101,164;0,153;45,686;3;0,119;30;0;1,212;2;24,779;55,752;19,469;2,141;298,92;1;12;ARMORICAIN;0;1.062;19,609;902,189;65,385;0;-0,166;-0,318;-0,495;0,138;1,399;0,053;-0,767;-1,157;-1,201;0,687;1,359;0,168;5,341;ARMORICAIN
1228;STER GOZ à BANNALEC;4184830;196207;6777935;72532;24/06/2014;0,406;NA;1,2;9;8,4;126;NA;3;NA;;1;1;0;;2;OFFICE FRANCAIS DE LA BIODIVERSITE;Ster goz;15;18;54,5;72;1,471;22,747;2,169;7,115;7,305;0,45;0,318;0,307;17,611;7,502;7,381;8,912;9,504;1,094;0,834;0,78;8,32;22,953;2,57;0,458;0,005;0,156;0,51;1,27;0,142;0,352;1,1;100,461;0,123;8,643;5;0,122;30;0;0,346;3;23,711;69,072;7,216;1,902;72;1;12;ARMORICAIN;0;1.11;7,63;224,551;25,196;0;-0,012;0,114;-0,207;-0,123;0,199;-0,074;-0,054;0,416;-0,502;-0,612;0,193;-0,236;2,013;ARMORICAIN
1229;VARENNE À SOUCE;4123800;429567;6825025;72434;01/10/2013;NA;NA;2,5;22,3;18,8;308;NA;0,71;NA;;4;4;0;"Sur les transects, la majorité des granulo ont été estimées au ""pied"", pas de lecture directe des largeurs.";2;OFFICE FRANCAIS DE LA BIODIVERSITE;Varenne;15;63,4;110;165,8;1,042;76,432;10,097;16,547;16,871;0,798;0,615;0,602;22,421;7,502;43,158;20,915;22,666;2,548;2,075;1,908;8,296;13,292;13,273;1,025;0,01;0,261;0,434;2,39;0,114;0,31;2,553;101,644;0,069;4,474;3;0,144;30;0;0,736;3;22,989;37,931;39,08;2,027;568,8;0,98;12;ARMORICAIN;0;1.025;47,014;327,457;15,657;0;-0,018;-0,208;-0,422;0,186;-0,148;0,263;-0,082;-0,759;-1,024;0,925;-0,144;0,841;3,775;ARMORICAIN
